Value,Count,Frequency
0,406,0.0406
1,346,0.0346
2,365,0.0365
3,359,0.0359
4,322,0.0322
5,306,0.0306
6,330,0.033
7,308,0.0308
8,271,0.0271
9,292,0.0292
10,256,0.0256
11,258,0.0258
12,225,0.0225
13,223,0.0223
14,215,0.0215
15,230,0.023
16,201,0.0201
17,200,0.02
18,186,0.0186
19,195,0.0195
20,174,0.0174
21,170,0.017
22,179,0.0179
23,180,0.018
24,137,0.0137
25,140,0.014
26,136,0.0136
27,122,0.0122
28,126,0.0126
29,126,0.0126
30,136,0.0136
31,127,0.0127
32,119,0.0119
33,113,0.0113
34,94,0.0094
35,89,0.0089
36,91,0.0091
37,78,0.0078
38,92,0.0092
39,88,0.0088
40,71,0.0071
41,65,0.0065
42,83,0.0083
43,85,0.0085
44,69,0.0069
45,65,0.0065
46,61,0.0061
47,67,0.0067
48,42,0.0042
49,57,0.0057
50,47,0.0047
51,46,0.0046
52,42,0.0042
53,36,0.0036
54,39,0.0039
55,33,0.0033
56,37,0.0037
57,35,0.0035
58,31,0.0031
59,45,0.0045
60,36,0.0036
61,39,0.0039
62,42,0.0042
63,33,0.0033
64,33,0.0033
65,29,0.0029
66,24,0.0024
67,26,0.0026
68,36,0.0036
69,31,0.0031
70,13,0.0013
71,22,0.0022
72,17,0.0017
73,25,0.0025
74,16,0.0016
75,17,0.0017
76,17,0.0017
77,18,0.0018
78,22,0.0022
79,15,0.0015
80,17,0.0017
81,14,0.0014
82,12,0.0012
83,16,0.0016
84,18,0.0018
85,16,0.0016
86,7,0.0007
87,11,0.0011
88,12,0.0012
89,15,0.0015
90,15,0.0015
91,7,0.0007
92,16,0.0016
93,7,0.0007
94,15,0.0015
95,8,0.0008
96,7,0.0007
97,6,0.0006
98,10,0.001
99,193,0.0193
