Value,Count,Frequency
0,94,0.0094
1,97,0.0097
2,94,0.0094
3,83,0.0083
4,93,0.0093
5,74,0.0074
6,96,0.0096
7,74,0.0074
8,83,0.0083
9,88,0.0088
10,77,0.0077
11,69,0.0069
12,81,0.0081
13,61,0.0061
14,74,0.0074
15,84,0.0084
16,57,0.0057
17,70,0.007
18,64,0.0064
19,73,0.0073
20,62,0.0062
21,65,0.0065
22,65,0.0065
23,76,0.0076
24,80,0.008
25,66,0.0066
26,64,0.0064
27,67,0.0067
28,75,0.0075
29,91,0.0091
30,66,0.0066
31,97,0.0097
32,89,0.0089
33,85,0.0085
34,89,0.0089
35,123,0.0123
36,137,0.0137
37,136,0.0136
38,158,0.0158
39,151,0.0151
40,187,0.0187
41,200,0.02
42,219,0.0219
43,203,0.0203
44,241,0.0241
45,240,0.024
46,235,0.0235
47,255,0.0255
48,266,0.0266
49,246,0.0246
50,282,0.0282
51,289,0.0289
52,257,0.0257
53,244,0.0244
54,211,0.0211
55,226,0.0226
56,214,0.0214
57,201,0.0201
58,194,0.0194
59,169,0.0169
60,140,0.014
61,155,0.0155
62,117,0.0117
63,102,0.0102
64,87,0.0087
65,74,0.0074
66,94,0.0094
67,78,0.0078
68,67,0.0067
69,69,0.0069
70,48,0.0048
71,52,0.0052
72,44,0.0044
73,52,0.0052
74,49,0.0049
75,48,0.0048
76,32,0.0032
77,34,0.0034
78,39,0.0039
79,28,0.0028
80,36,0.0036
81,39,0.0039
82,31,0.0031
83,20,0.002
84,28,0.0028
85,27,0.0027
86,34,0.0034
87,23,0.0023
88,27,0.0027
89,22,0.0022
90,28,0.0028
91,22,0.0022
92,31,0.0031
93,25,0.0025
94,26,0.0026
95,31,0.0031
96,22,0.0022
97,17,0.0017
98,23,0.0023
99,72,0.0072
