Value,Count,Frequency
0,15,0.0015
1,1,0.0001
2,6,0.0006
3,5,0.0005
4,4,0.0004
5,7,0.0007
6,8,0.0008
7,10,0.001
8,10,0.001
9,16,0.0016
10,17,0.0017
11,19,0.0019
12,16,0.0016
13,18,0.0018
14,31,0.0031
15,22,0.0022
16,37,0.0037
17,39,0.0039
18,49,0.0049
19,44,0.0044
20,45,0.0045
21,46,0.0046
22,47,0.0047
23,69,0.0069
24,73,0.0073
25,75,0.0075
26,87,0.0087
27,92,0.0092
28,126,0.0126
29,128,0.0128
30,133,0.0133
31,133,0.0133
32,138,0.0138
33,132,0.0132
34,151,0.0151
35,177,0.0177
36,164,0.0164
37,177,0.0177
38,185,0.0185
39,179,0.0179
40,181,0.0181
41,207,0.0207
42,201,0.0201
43,232,0.0232
44,240,0.024
45,260,0.026
46,226,0.0226
47,257,0.0257
48,235,0.0235
49,242,0.0242
50,260,0.026
51,239,0.0239
52,233,0.0233
53,217,0.0217
54,231,0.0231
55,227,0.0227
56,219,0.0219
57,230,0.023
58,215,0.0215
59,204,0.0204
60,199,0.0199
61,173,0.0173
62,195,0.0195
63,168,0.0168
64,178,0.0178
65,159,0.0159
66,137,0.0137
67,141,0.0141
68,127,0.0127
69,105,0.0105
70,115,0.0115
71,95,0.0095
72,102,0.0102
73,84,0.0084
74,80,0.008
75,84,0.0084
76,67,0.0067
77,60,0.006
78,48,0.0048
79,58,0.0058
80,42,0.0042
81,41,0.0041
82,32,0.0032
83,22,0.0022
84,28,0.0028
85,23,0.0023
86,23,0.0023
87,19,0.0019
88,9,0.0009
89,19,0.0019
90,14,0.0014
91,6,0.0006
92,5,0.0005
93,6,0.0006
94,8,0.0008
95,10,0.001
96,1,0.0001
97,2,0.0002
98,5,0.0005
99,23,0.0023
