Value,Count,Frequency
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,0,0.0
24,0,0.0
25,0,0.0
26,1,0.0001
27,1,0.0001
28,2,0.0002
29,3,0.0003
30,9,0.0009
31,6,0.0006
32,21,0.0021
33,26,0.0026
34,46,0.0046
35,67,0.0067
36,78,0.0078
37,106,0.0106
38,140,0.014
39,175,0.0175
40,225,0.0225
41,269,0.0269
42,263,0.0263
43,357,0.0357
44,423,0.0423
45,454,0.0454
46,509,0.0509
47,560,0.056
48,567,0.0567
49,592,0.0592
50,533,0.0533
51,549,0.0549
52,559,0.0559
53,496,0.0496
54,457,0.0457
55,388,0.0388
56,384,0.0384
57,356,0.0356
58,266,0.0266
59,213,0.0213
60,198,0.0198
61,145,0.0145
62,132,0.0132
63,101,0.0101
64,70,0.007
65,55,0.0055
66,55,0.0055
67,44,0.0044
68,30,0.003
69,17,0.0017
70,23,0.0023
71,16,0.0016
72,3,0.0003
73,5,0.0005
74,3,0.0003
75,1,0.0001
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,0,0.0
81,1,0.0001
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,0,0.0
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
