Value,Count,Frequency
0,101,0.0101
1,107,0.0107
2,107,0.0107
3,118,0.0118
4,84,0.0084
5,102,0.0102
6,102,0.0102
7,110,0.011
8,100,0.01
9,101,0.0101
10,117,0.0117
11,89,0.0089
12,97,0.0097
13,113,0.0113
14,101,0.0101
15,110,0.011
16,109,0.0109
17,110,0.011
18,92,0.0092
19,111,0.0111
20,89,0.0089
21,105,0.0105
22,107,0.0107
23,96,0.0096
24,92,0.0092
25,100,0.01
26,96,0.0096
27,83,0.0083
28,107,0.0107
29,99,0.0099
30,95,0.0095
31,92,0.0092
32,90,0.009
33,96,0.0096
34,105,0.0105
35,106,0.0106
36,93,0.0093
37,111,0.0111
38,102,0.0102
39,115,0.0115
40,94,0.0094
41,89,0.0089
42,99,0.0099
43,100,0.01
44,89,0.0089
45,92,0.0092
46,72,0.0072
47,98,0.0098
48,104,0.0104
49,85,0.0085
50,130,0.013
51,96,0.0096
52,94,0.0094
53,82,0.0082
54,87,0.0087
55,91,0.0091
56,94,0.0094
57,114,0.0114
58,105,0.0105
59,93,0.0093
60,86,0.0086
61,116,0.0116
62,100,0.01
63,103,0.0103
64,88,0.0088
65,98,0.0098
66,112,0.0112
67,102,0.0102
68,85,0.0085
69,115,0.0115
70,97,0.0097
71,108,0.0108
72,97,0.0097
73,104,0.0104
74,104,0.0104
75,86,0.0086
76,103,0.0103
77,89,0.0089
78,83,0.0083
79,104,0.0104
80,131,0.0131
81,110,0.011
82,94,0.0094
83,108,0.0108
84,103,0.0103
85,82,0.0082
86,96,0.0096
87,100,0.01
88,100,0.01
89,88,0.0088
90,109,0.0109
91,101,0.0101
92,109,0.0109
93,89,0.0089
94,100,0.01
95,116,0.0116
96,110,0.011
97,114,0.0114
98,87,0.0087
99,105,0.0105
