Value,Count,Frequency
0,110,0.011
1,100,0.01
2,87,0.0087
3,111,0.0111
4,93,0.0093
5,96,0.0096
6,108,0.0108
7,103,0.0103
8,89,0.0089
9,95,0.0095
10,100,0.01
11,107,0.0107
12,99,0.0099
13,95,0.0095
14,113,0.0113
15,98,0.0098
16,101,0.0101
17,117,0.0117
18,93,0.0093
19,109,0.0109
20,79,0.0079
21,108,0.0108
22,97,0.0097
23,83,0.0083
24,106,0.0106
25,113,0.0113
26,95,0.0095
27,102,0.0102
28,92,0.0092
29,103,0.0103
30,120,0.012
31,92,0.0092
32,99,0.0099
33,80,0.008
34,94,0.0094
35,101,0.0101
36,106,0.0106
37,94,0.0094
38,103,0.0103
39,104,0.0104
40,90,0.009
41,104,0.0104
42,101,0.0101
43,86,0.0086
44,96,0.0096
45,106,0.0106
46,104,0.0104
47,98,0.0098
48,116,0.0116
49,92,0.0092
50,101,0.0101
51,96,0.0096
52,92,0.0092
53,115,0.0115
54,94,0.0094
55,94,0.0094
56,97,0.0097
57,94,0.0094
58,111,0.0111
59,108,0.0108
60,85,0.0085
61,97,0.0097
62,124,0.0124
63,91,0.0091
64,96,0.0096
65,90,0.009
66,117,0.0117
67,115,0.0115
68,91,0.0091
69,101,0.0101
70,124,0.0124
71,112,0.0112
72,104,0.0104
73,95,0.0095
74,107,0.0107
75,92,0.0092
76,114,0.0114
77,96,0.0096
78,88,0.0088
79,99,0.0099
80,100,0.01
81,85,0.0085
82,107,0.0107
83,116,0.0116
84,102,0.0102
85,101,0.0101
86,102,0.0102
87,77,0.0077
88,94,0.0094
89,86,0.0086
90,91,0.0091
91,105,0.0105
92,93,0.0093
93,104,0.0104
94,116,0.0116
95,101,0.0101
96,80,0.008
97,90,0.009
98,110,0.011
99,112,0.0112
